Start Time  Tuesday January 11 2022 18:34:22
Bitrate   500 kbit/s
Operating Mode  Std Ext ErrDet
Driver Version  4.1.212.0
"Bus","No","Time","State","ID (hex)","DLC","Data (hex)","ASCII"
"USB-to-CAN V2 compact  CAN-1","1,310","00:00:24.521","      ","706","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,311","00:00:24.576","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,312","00:00:24.769","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,313","00:00:24.876","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,314","00:00:24.954","      ","704","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,315","00:00:25.129","      ","705","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,316","00:00:25.176","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,317","00:00:25.207","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,318","00:00:25.475","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,319","00:00:25.521","      ","706","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,320","00:00:25.642","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,321","00:00:25.775","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,322","00:00:25.954","      ","704","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,323","00:00:26.075","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,324","00:00:26.080","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,325","00:00:26.129","      ","705","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,326","00:00:26.375","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,327","00:00:26.516","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,328","00:00:26.521","      ","706","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,329","00:00:26.675","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,330","00:00:26.928","      ","182","4","00 00 F2 00","...."
"USB-to-CAN V2 compact  CAN-1","1,331","00:00:26.954","      ","704","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,332","00:00:26.954","      ","703","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,333","00:00:26.976","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,334","00:00:27.129","      ","705","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,335","00:00:27.133","      ","182","4","48 B7 CA 00","H..."
"USB-to-CAN V2 compact  CAN-1","1,336","00:00:27.148","      ","606","8","2F 60 60 00 01 00 00 00","/``....."
"USB-to-CAN V2 compact  CAN-1","1,337","00:00:27.148","      ","586","8","60 60 60 00 00 00 00 00","```....."
"USB-to-CAN V2 compact  CAN-1","1,338","00:00:27.151","      ","605","8","2F 60 60 00 01 00 00 00","/``....."
"USB-to-CAN V2 compact  CAN-1","1,339","00:00:27.151","      ","585","8","60 60 60 00 00 00 00 00","```....."
"USB-to-CAN V2 compact  CAN-1","1,340","00:00:27.153","      ","604","8","2F 60 60 00 01 00 00 00","/``....."
"USB-to-CAN V2 compact  CAN-1","1,341","00:00:27.154","      ","584","8","60 60 60 00 00 00 00 00","```....."
"USB-to-CAN V2 compact  CAN-1","1,342","00:00:27.167","      ","204","2","2F 20","/ "
"USB-to-CAN V2 compact  CAN-1","1,343","00:00:27.167","      ","205","2","2F 00","/."
"USB-to-CAN V2 compact  CAN-1","1,344","00:00:27.167","      ","206","2","2F 00","/."
"USB-to-CAN V2 compact  CAN-1","1,345","00:00:27.167","      ","184","6","33 07 E7 B0 FF FF","3....."
"USB-to-CAN V2 compact  CAN-1","1,346","00:00:27.168","      ","185","6","33 07 6A C4 FF FF","3.j..."
"USB-to-CAN V2 compact  CAN-1","1,347","00:00:27.168","      ","186","6","33 07 D2 74 FF FF","3..t.."
"USB-to-CAN V2 compact  CAN-1","1,348","00:00:27.245","      ","184","6","33 86 E7 B0 FF FF","3....."
"USB-to-CAN V2 compact  CAN-1","1,349","00:00:27.245","      ","186","6","33 86 D2 74 FF FF","3..t.."
"USB-to-CAN V2 compact  CAN-1","1,350","00:00:27.246","      ","185","6","33 86 6A C4 FF FF","3.j..."
"USB-to-CAN V2 compact  CAN-1","1,351","00:00:27.275","      ","184","6","37 86 E7 B0 FF FF","7....."
"USB-to-CAN V2 compact  CAN-1","1,352","00:00:27.275","      ","186","6","37 86 D2 74 FF FF","7..t.."
"USB-to-CAN V2 compact  CAN-1","1,353","00:00:27.276","      ","185","6","37 86 6A C4 FF FF","7.j..."
"USB-to-CAN V2 compact  CAN-1","1,354","00:00:27.276","      ","702","1","05","."
"USB-to-CAN V2 compact  CAN-1","1,355","00:00:27.295","      ","405","8","00 00 00 00 00 00 02 00","........"
"USB-to-CAN V2 compact  CAN-1","1,356","00:00:27.296","      ","404","8","00 00 00 00 00 00 02 00","........"
"USB-to-CAN V2 compact  CAN-1","1,357","00:00:27.307","      ","406","8","00 00 00 00 00 00 02 00","........"
"USB-to-CAN V2 compact  CAN-1","1,358","00:00:27.329","      ","186","6","37 86 D1 74 FF FF","7..t.."
